,Artist,Title,Writers,Producer,Year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Smokey Robinson and the Miracles,Shop Around,"Berry Gordy, Robinson",Gordy,60,77Z1pij1PpjhlzZnzBM86G,14,0.562,0.689,7,-5.66,1,0.0293,0.607,0.0,0.753,0.875,132.448,audio_features,77Z1pij1PpjhlzZnzBM86G,spotify:track:77Z1pij1PpjhlzZnzBM86G,https://api.spotify.com/v1/tracks/77Z1pij1PpjhlzZnzBM86G,https://api.spotify.com/v1/audio-analysis/77Z1pij1PpjhlzZnzBM86G,170560,4
1,Weezer,Buddy Holly,Rivers Cuomo,Ric Ocasek,94,3mwvKOyMmG77zZRunnxp9E,73,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,audio_features,3mwvKOyMmG77zZRunnxp9E,spotify:track:3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/tracks/3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/audio-analysis/3mwvKOyMmG77zZRunnxp9E,159227,4
2,The Rolling Stones,Miss You,"Mick Jagger, Keith Richards",The Glimmer Twins,78,3hJLKtTpgct9Y9wKww0BiR,69,0.795,0.71,9,-4.746,0,0.0392,0.443,0.0215,0.344,0.845,109.689,audio_features,3hJLKtTpgct9Y9wKww0BiR,spotify:track:3hJLKtTpgct9Y9wKww0BiR,https://api.spotify.com/v1/tracks/3hJLKtTpgct9Y9wKww0BiR,https://api.spotify.com/v1/audio-analysis/3hJLKtTpgct9Y9wKww0BiR,288667,4
3,Bruce Springsteen,The Rising,Springsteen,Brendan O'Brien,02,2czBvzOv3TvnyoW7Ozo7fP,57,0.499,0.761,10,-6.381,1,0.0324,0.0655,0.0,0.0895,0.326,110.186,audio_features,2czBvzOv3TvnyoW7Ozo7fP,spotify:track:2czBvzOv3TvnyoW7Ozo7fP,https://api.spotify.com/v1/tracks/2czBvzOv3TvnyoW7Ozo7fP,https://api.spotify.com/v1/audio-analysis/2czBvzOv3TvnyoW7Ozo7fP,287040,4
4,Jackson Browne,Running on Empty,Browne,Browne,77,6aqm56xP40foYBBtAWWrnY,68,0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,audio_features,6aqm56xP40foYBBtAWWrnY,spotify:track:6aqm56xP40foYBBtAWWrnY,https://api.spotify.com/v1/tracks/6aqm56xP40foYBBtAWWrnY,https://api.spotify.com/v1/audio-analysis/6aqm56xP40foYBBtAWWrnY,291893,4
5,The Rolling Stones,Brown Sugar,"Mick Jagger, Keith Richards",Jimmy Miller,71,61UuPxxYUvacEH6SHIK3sU,72,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,audio_features,61UuPxxYUvacEH6SHIK3sU,spotify:track:61UuPxxYUvacEH6SHIK3sU,https://api.spotify.com/v1/tracks/61UuPxxYUvacEH6SHIK3sU,https://api.spotify.com/v1/audio-analysis/61UuPxxYUvacEH6SHIK3sU,228667,4
6,R. Kelly,Ignition (Remix),Kelly,Kelly,02,5dNfHmqgr128gMY2tc5CeJ,72,0.795,0.523,1,-7.165,1,0.0423,0.061,0.0,0.0914,0.855,133.024,audio_features,5dNfHmqgr128gMY2tc5CeJ,spotify:track:5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/tracks/5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/audio-analysis/5dNfHmqgr128gMY2tc5CeJ,186067,4
7,MGMT,Time to Pretend,"Ben Goldwasser, Andrew VanWyngarden",Dave Fridmann,08,4iG2gAwKXsOcijVaVXzRPW,73,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,audio_features,4iG2gAwKXsOcijVaVXzRPW,spotify:track:4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/tracks/4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/audio-analysis/4iG2gAwKXsOcijVaVXzRPW,261000,3
8,Gloria Gaynor,I Will Survive,"Dino Fekaris, Freddie Perren","Fekaris, Perren",78,7cv28LXcjAC3GsXbUvXKbX,72,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,audio_features,7cv28LXcjAC3GsXbUvXKbX,spotify:track:7cv28LXcjAC3GsXbUvXKbX,https://api.spotify.com/v1/tracks/7cv28LXcjAC3GsXbUvXKbX,https://api.spotify.com/v1/audio-analysis/7cv28LXcjAC3GsXbUvXKbX,198066,4
9,Joan Jett and the Blackhearts,I Love Rock 'N Roll,"Jake Hooker, Alan Merrill","Ritchie Cordell, Kenny Laguna",82,2Cdvbe2G4hZsnhNMKyGrie,74,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,audio_features,2Cdvbe2G4hZsnhNMKyGrie,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/audio-analysis/2Cdvbe2G4hZsnhNMKyGrie,175173,4
10,Coldplay,Clocks,Coldplay,"Ken Nelson, Mark Phythian",02,0BCPKOYdS2jbQ8iyB56Zns,78,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,audio_features,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4
11,The Drifters,Under the Boardwalk,"Arthur Resnick, Kenny Young",Bert Berns,64,65jrjEhWfAvysKfnojk1i0,71,0.747,0.226,7,-13.635,1,0.0415,0.908,0.000168,0.107,0.778,123.789,audio_features,65jrjEhWfAvysKfnojk1i0,spotify:track:65jrjEhWfAvysKfnojk1i0,https://api.spotify.com/v1/tracks/65jrjEhWfAvysKfnojk1i0,https://api.spotify.com/v1/audio-analysis/65jrjEhWfAvysKfnojk1i0,161960,4
12,The Cure,Just Like Heaven,"Robert Smith, Simon Gallup, Porl Thompson, Lol Tolhurst, Boris Williams","David Allen, Smith",87,76GlO5H5RT6g7y0gev86Nk,68,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,audio_features,76GlO5H5RT6g7y0gev86Nk,spotify:track:76GlO5H5RT6g7y0gev86Nk,https://api.spotify.com/v1/tracks/76GlO5H5RT6g7y0gev86Nk,https://api.spotify.com/v1/audio-analysis/76GlO5H5RT6g7y0gev86Nk,212000,4
13,Alice Cooper,I'm Eighteen,"Michael Bruce, Glen Buxton, Cooper, Dennis Dunway, Neal Smith","Bob Erzin, Jack Richardson",71,3YU9X8ryOR20beT7wOlDIJ,58,0.618,0.413,4,-14.164,0,0.0302,0.249,0.0517,0.131,0.531,97.84,audio_features,3YU9X8ryOR20beT7wOlDIJ,spotify:track:3YU9X8ryOR20beT7wOlDIJ,https://api.spotify.com/v1/tracks/3YU9X8ryOR20beT7wOlDIJ,https://api.spotify.com/v1/audio-analysis/3YU9X8ryOR20beT7wOlDIJ,180760,4
14,David Bowie,Young Americans,Bowie,Tony Visconti,75,7uPmQttafLiJyju14JREY4,60,0.614,0.763,4,-8.949,0,0.133,0.171,0.0,0.119,0.885,84.236,audio_features,7uPmQttafLiJyju14JREY4,spotify:track:7uPmQttafLiJyju14JREY4,https://api.spotify.com/v1/tracks/7uPmQttafLiJyju14JREY4,https://api.spotify.com/v1/audio-analysis/7uPmQttafLiJyju14JREY4,313707,4
15,LaBelle,Lady Marmalade,"Bob Crewe, Kenny Nolan",Allen Toussaint,75,17VWTx7LD7liGlpnlGhUbn,53,0.631,0.563,2,-12.135,0,0.0552,0.398,0.0,0.0733,0.947,117.963,audio_features,17VWTx7LD7liGlpnlGhUbn,spotify:track:17VWTx7LD7liGlpnlGhUbn,https://api.spotify.com/v1/tracks/17VWTx7LD7liGlpnlGhUbn,https://api.spotify.com/v1/audio-analysis/17VWTx7LD7liGlpnlGhUbn,237120,4
16,Justin Timberlake,Cry Me a River,"Timbaland, Scott Storch, Timberlake",Timbaland,02,7Lf7oSEVdzZqTA0kEDSlS5,74,0.624,0.653,8,-6.582,0,0.176,0.575,0.0,0.104,0.565,73.884,audio_features,7Lf7oSEVdzZqTA0kEDSlS5,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5,288333,4
17,Jefferson Airplane,White Rabbit,Grace Slick,Rick Jarrard,67,4vpeKl0vMGdAXpZiQB2Dtd,70,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,audio_features,4vpeKl0vMGdAXpZiQB2Dtd,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,https://api.spotify.com/v1/tracks/4vpeKl0vMGdAXpZiQB2Dtd,https://api.spotify.com/v1/audio-analysis/4vpeKl0vMGdAXpZiQB2Dtd,150640,4
18,Kelly Clarkson,Since U Been Gone,"Dr. Luke, Max Martin","Dr. Luke, Martin",04,3xrn9i8zhNZsTtcoWgQEAd,74,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,audio_features,3xrn9i8zhNZsTtcoWgQEAd,spotify:track:3xrn9i8zhNZsTtcoWgQEAd,https://api.spotify.com/v1/tracks/3xrn9i8zhNZsTtcoWgQEAd,https://api.spotify.com/v1/audio-analysis/3xrn9i8zhNZsTtcoWgQEAd,188960,4
19,Rick James,Super Freak,"James, Alonzo Miller",James,81,2dCmGcEOQrMQhMMS8Vj7Ca,71,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,audio_features,2dCmGcEOQrMQhMMS8Vj7Ca,spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca,https://api.spotify.com/v1/tracks/2dCmGcEOQrMQhMMS8Vj7Ca,https://api.spotify.com/v1/audio-analysis/2dCmGcEOQrMQhMMS8Vj7Ca,205467,4
20,Beastie Boys,Sabotage,Beastie Boys,"Beastie Boys, Mario Caldato Jr.",94,0Puj4YlTm6xNzDDADXHMI9,73,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,audio_features,0Puj4YlTm6xNzDDADXHMI9,spotify:track:0Puj4YlTm6xNzDDADXHMI9,https://api.spotify.com/v1/tracks/0Puj4YlTm6xNzDDADXHMI9,https://api.spotify.com/v1/audio-analysis/0Puj4YlTm6xNzDDADXHMI9,178440,4
21,Foreigner,I Want to Know What Love Is,Mick Jones,"Jones, Alex Sadkin",84,1JLn8RhQzHz3qDqsChcmBl,79,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,audio_features,1JLn8RhQzHz3qDqsChcmBl,spotify:track:1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/audio-analysis/1JLn8RhQzHz3qDqsChcmBl,304787,4
22,The Strokes,Last Nite,Julian Casablancas,Gordon Raphael,01,3SUusuA9jH1v6PVwtYMbdv,65,0.624,0.899,0,-5.71,1,0.0295,0.0223,0.000155,0.0975,0.797,104.055,audio_features,3SUusuA9jH1v6PVwtYMbdv,spotify:track:3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/tracks/3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/audio-analysis/3SUusuA9jH1v6PVwtYMbdv,193373,4
23,The Smiths,How Soon Is Now?,"Johnny Marr, Morrissey",John Porter,85,1YrnDTqvcnUKxAIeXyaEmU,71,0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,audio_features,1YrnDTqvcnUKxAIeXyaEmU,spotify:track:1YrnDTqvcnUKxAIeXyaEmU,https://api.spotify.com/v1/tracks/1YrnDTqvcnUKxAIeXyaEmU,https://api.spotify.com/v1/audio-analysis/1YrnDTqvcnUKxAIeXyaEmU,408173,4
24,Aretha Franklin,Do Right Woman — Do Right Man,"Chips Moman, Dan Penn",Jerry Wexler,67,6cLEpgDcEldV1n9gusHQUX,47,0.668,0.284,9,-10.192,1,0.0413,0.706,0.0,0.131,0.491,134.911,audio_features,6cLEpgDcEldV1n9gusHQUX,spotify:track:6cLEpgDcEldV1n9gusHQUX,https://api.spotify.com/v1/tracks/6cLEpgDcEldV1n9gusHQUX,https://api.spotify.com/v1/audio-analysis/6cLEpgDcEldV1n9gusHQUX,196640,3
25,The Supremes,Where Did Our Love Go,"Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier",64,69RH84na5iUNwrwxpgjC5j,66,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,audio_features,69RH84na5iUNwrwxpgjC5j,spotify:track:69RH84na5iUNwrwxpgjC5j,https://api.spotify.com/v1/tracks/69RH84na5iUNwrwxpgjC5j,https://api.spotify.com/v1/audio-analysis/69RH84na5iUNwrwxpgjC5j,153333,4
26,Van Morrison,Into the Mystic,Morrison,Morrison,70,3lh3iiiJeiBXHSZw6u0kh6,74,0.608,0.524,8,-10.266,1,0.0309,0.367,0.00254,0.115,0.797,86.204,audio_features,3lh3iiiJeiBXHSZw6u0kh6,spotify:track:3lh3iiiJeiBXHSZw6u0kh6,https://api.spotify.com/v1/tracks/3lh3iiiJeiBXHSZw6u0kh6,https://api.spotify.com/v1/audio-analysis/3lh3iiiJeiBXHSZw6u0kh6,205613,4
27,Guns N," Roses, 'Welcome to the Jungle",Guns n' Roses,Mike Clink,87,0G21yYKMZoHa30cYVi1iA8,73,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,audio_features,0G21yYKMZoHa30cYVi1iA8,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480,4
28,Del Shannon,Runaway,"Shannon, Max Crook","Harry Balk, Irving Micahnik",61,45Szkclj1lt4ubm7RFK68t,63,0.594,0.533,10,-7.993,0,0.0438,0.153,1.49e-05,0.172,0.729,78.552,audio_features,45Szkclj1lt4ubm7RFK68t,spotify:track:45Szkclj1lt4ubm7RFK68t,https://api.spotify.com/v1/tracks/45Szkclj1lt4ubm7RFK68t,https://api.spotify.com/v1/audio-analysis/45Szkclj1lt4ubm7RFK68t,137307,4
29,Cheap Trick,Surrender,Rick Nielsen,Tom Werman,78,2ccUQnjjNWT0rsNnsBpsCA,71,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,audio_features,2ccUQnjjNWT0rsNnsBpsCA,spotify:track:2ccUQnjjNWT0rsNnsBpsCA,https://api.spotify.com/v1/tracks/2ccUQnjjNWT0rsNnsBpsCA,https://api.spotify.com/v1/audio-analysis/2ccUQnjjNWT0rsNnsBpsCA,253733,4
30,The Four Tops,Standing in the Shadows of Love,"Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier",66,2sD2XkPogLt7keXttj7F9o,49,0.741,0.855,6,-8.288,1,0.0345,0.0721,8.67e-05,0.349,0.878,114.135,audio_features,2sD2XkPogLt7keXttj7F9o,spotify:track:2sD2XkPogLt7keXttj7F9o,https://api.spotify.com/v1/tracks/2sD2XkPogLt7keXttj7F9o,https://api.spotify.com/v1/audio-analysis/2sD2XkPogLt7keXttj7F9o,157640,4
31,The Beatles,Rain,"John Lennon, Paul McCartney",George Martin,66,48TNLcToLs8DWkdj5vYdiW,52,0.234,0.693,0,-8.277,1,0.0408,2.82e-05,0.899,0.442,0.541,106.933,audio_features,48TNLcToLs8DWkdj5vYdiW,spotify:track:48TNLcToLs8DWkdj5vYdiW,https://api.spotify.com/v1/tracks/48TNLcToLs8DWkdj5vYdiW,https://api.spotify.com/v1/audio-analysis/48TNLcToLs8DWkdj5vYdiW,181320,4
32,The Staple Singers,Respect Yourself,"Luther Ingram, Mack Rice",Al Bell,71,4lzTyLYXb3ED01TSLCJ1Hz,55,0.828,0.669,6,-8.637,0,0.0254,0.16,0.00333,0.0756,0.926,109.964,audio_features,4lzTyLYXb3ED01TSLCJ1Hz,spotify:track:4lzTyLYXb3ED01TSLCJ1Hz,https://api.spotify.com/v1/tracks/4lzTyLYXb3ED01TSLCJ1Hz,https://api.spotify.com/v1/audio-analysis/4lzTyLYXb3ED01TSLCJ1Hz,211680,4
33,Jay-Z Featuring UGK,Big Pimpin',"Jay-Z, Bun B, Pimp C, Timbaland, Kyambo Joshua",Timbaland,99,7m97yKVzPpXV9Z4ezEziOD,67,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,audio_features,7m97yKVzPpXV9Z4ezEziOD,spotify:track:7m97yKVzPpXV9Z4ezEziOD,https://api.spotify.com/v1/tracks/7m97yKVzPpXV9Z4ezEziOD,https://api.spotify.com/v1/audio-analysis/7m97yKVzPpXV9Z4ezEziOD,283067,4
34,Missy Elliott,Get Ur Freak On,"Elliott, Timbaland",Timbaland,01,6zsk6uF3MxfIeHPlubKBvR,71,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,audio_features,6zsk6uF3MxfIeHPlubKBvR,spotify:track:6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/tracks/6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/audio-analysis/6zsk6uF3MxfIeHPlubKBvR,211120,4
35,Muddy Waters,Rollin' Stone,McKinley Morganfield,Leonard and Phil Chess,48,61K6lqGyrl2Aerk0LjAZem,54,0.629,0.0192,4,-19.952,1,0.0833,0.989,4.3e-05,0.106,0.335,169.254,audio_features,61K6lqGyrl2Aerk0LjAZem,spotify:track:61K6lqGyrl2Aerk0LjAZem,https://api.spotify.com/v1/tracks/61K6lqGyrl2Aerk0LjAZem,https://api.spotify.com/v1/audio-analysis/61K6lqGyrl2Aerk0LjAZem,188160,4
36,Prince and the Revolution,Kiss,Prince and the Revolution,Prince and the Revolution,86,62LJFaYihsdVrrkgUOJC05,74,0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485,audio_features,62LJFaYihsdVrrkgUOJC05,spotify:track:62LJFaYihsdVrrkgUOJC05,https://api.spotify.com/v1/tracks/62LJFaYihsdVrrkgUOJC05,https://api.spotify.com/v1/audio-analysis/62LJFaYihsdVrrkgUOJC05,226240,4
37,Sam and Dave,Soul Man,"Isaac Hayes, David Porter","Hayes, Porter",67,4eGHlplaq1ME8oetnTuFFf,66,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345,audio_features,4eGHlplaq1ME8oetnTuFFf,spotify:track:4eGHlplaq1ME8oetnTuFFf,https://api.spotify.com/v1/tracks/4eGHlplaq1ME8oetnTuFFf,https://api.spotify.com/v1/audio-analysis/4eGHlplaq1ME8oetnTuFFf,159000,4
38,Nirvana,All Apologies,Kurt Cobain,Steve Albini,93,1Ic9pKxGSJGM0LKeqf6lGe,69,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176,audio_features,1Ic9pKxGSJGM0LKeqf6lGe,spotify:track:1Ic9pKxGSJGM0LKeqf6lGe,https://api.spotify.com/v1/tracks/1Ic9pKxGSJGM0LKeqf6lGe,https://api.spotify.com/v1/audio-analysis/1Ic9pKxGSJGM0LKeqf6lGe,233173,4
39,Ramones,Sheena Is a Punk Rocker,Ramones,"Tony Bongiovi, T. Erdelyi",77,61MZN0yyMWSEwrLPUUGfgJ,61,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,audio_features,61MZN0yyMWSEwrLPUUGfgJ,spotify:track:61MZN0yyMWSEwrLPUUGfgJ,https://api.spotify.com/v1/tracks/61MZN0yyMWSEwrLPUUGfgJ,https://api.spotify.com/v1/audio-analysis/61MZN0yyMWSEwrLPUUGfgJ,169920,4
40,George Harrison,My Sweet Lord,Harrison,"Harrison, Phil Spector",70,0qdQUeKVyevrbKhAo0ibxS,77,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,audio_features,0qdQUeKVyevrbKhAo0ibxS,spotify:track:0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/tracks/0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/audio-analysis/0qdQUeKVyevrbKhAo0ibxS,281227,4
41,Guns N," Roses, 'Paradise City",Guns n' Roses,Mike Clink,87,6eN1f9KNmiWEhpE2RhQqB5,73,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315,audio_features,6eN1f9KNmiWEhpE2RhQqB5,spotify:track:6eN1f9KNmiWEhpE2RhQqB5,https://api.spotify.com/v1/tracks/6eN1f9KNmiWEhpE2RhQqB5,https://api.spotify.com/v1/audio-analysis/6eN1f9KNmiWEhpE2RhQqB5,405600,4
42,Sam Cooke,Cupid,Cooke,"Cooke, Hugo and Luigi",61,6VuO6xcpSeeLfqBo4ePbkw,56,0.469,0.393,7,-9.968,1,0.0348,0.843,0.0,0.168,0.601,120.066,audio_features,6VuO6xcpSeeLfqBo4ePbkw,spotify:track:6VuO6xcpSeeLfqBo4ePbkw,https://api.spotify.com/v1/tracks/6VuO6xcpSeeLfqBo4ePbkw,https://api.spotify.com/v1/audio-analysis/6VuO6xcpSeeLfqBo4ePbkw,154867,4
43,Chubby Checker,The Twist,Hank Ballard,Karl Mann,60,3ohLnESFgYACPMCkoTOzqE,58,0.533,0.638,4,-7.13,1,0.0341,0.202,0.0,0.0729,0.937,156.663,audio_features,3ohLnESFgYACPMCkoTOzqE,spotify:track:3ohLnESFgYACPMCkoTOzqE,https://api.spotify.com/v1/tracks/3ohLnESFgYACPMCkoTOzqE,https://api.spotify.com/v1/audio-analysis/3ohLnESFgYACPMCkoTOzqE,153760,4
44,The Beatles,Penny Lane,"John Lennon, Paul McCartney",George Martin,67,1h04XMpzGzmAudoI6VHBgA,68,0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038,audio_features,1h04XMpzGzmAudoI6VHBgA,spotify:track:1h04XMpzGzmAudoI6VHBgA,https://api.spotify.com/v1/tracks/1h04XMpzGzmAudoI6VHBgA,https://api.spotify.com/v1/audio-analysis/1h04XMpzGzmAudoI6VHBgA,180893,4
45,The Velvet Underground,Heroin,Lou Reed,"Andy Warhol, Tom Wilson",67,5by3w3NXvwDpV9FBSOR35u,61,0.201,0.777,1,-10.167,1,0.0705,0.304,0.78,0.0981,0.235,145.733,audio_features,5by3w3NXvwDpV9FBSOR35u,spotify:track:5by3w3NXvwDpV9FBSOR35u,https://api.spotify.com/v1/tracks/5by3w3NXvwDpV9FBSOR35u,https://api.spotify.com/v1/audio-analysis/5by3w3NXvwDpV9FBSOR35u,433573,4
46,The Shangri-Las,Leader of the Pack,"George ""Shadow"" Morton, Jeff Barry, Ellie Greenwich","Morton, Barry, Greenwich",64,6wzLLGFlWQ5jqTL13MU069,50,0.417,0.546,0,-8.71,1,0.0858,0.725,0.0,0.543,0.31,126.224,audio_features,6wzLLGFlWQ5jqTL13MU069,spotify:track:6wzLLGFlWQ5jqTL13MU069,https://api.spotify.com/v1/tracks/6wzLLGFlWQ5jqTL13MU069,https://api.spotify.com/v1/audio-analysis/6wzLLGFlWQ5jqTL13MU069,173533,4
47,Toots and the Maytals,Pressure Drop,Toots Hibbert,Leslie Kong,73,7cfILJJHW9ZSkbM2ywLhiN,52,0.658,0.571,8,-11.972,1,0.0432,0.106,0.0,0.0286,0.985,148.964,audio_features,7cfILJJHW9ZSkbM2ywLhiN,spotify:track:7cfILJJHW9ZSkbM2ywLhiN,https://api.spotify.com/v1/tracks/7cfILJJHW9ZSkbM2ywLhiN,https://api.spotify.com/v1/audio-analysis/7cfILJJHW9ZSkbM2ywLhiN,174960,4
48,Nirvana,Come As You Are,"Kurt Cobain, Nirvana","Butch Vig, Nirvana",91,4P5KoWXOxwuobLmHXLMobV,73,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,audio_features,4P5KoWXOxwuobLmHXLMobV,spotify:track:4P5KoWXOxwuobLmHXLMobV,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV,https://api.spotify.com/v1/audio-analysis/4P5KoWXOxwuobLmHXLMobV,218920,4
49,Sonny and Cher,I Got You Babe,Sonny Bono,Bono,65,4SGBuq37Ol4HJr7pQqFMKa,67,0.629,0.795,6,-6.02,1,0.0278,0.136,5.44e-06,0.132,0.6,110.583,audio_features,4SGBuq37Ol4HJr7pQqFMKa,spotify:track:4SGBuq37Ol4HJr7pQqFMKa,https://api.spotify.com/v1/tracks/4SGBuq37Ol4HJr7pQqFMKa,https://api.spotify.com/v1/audio-analysis/4SGBuq37Ol4HJr7pQqFMKa,190080,3
50,Bob Marley and the Wailers,I Shot the Sheriff,Marley,Chris Blackwell,73,60e5PcqGmlVFQ0HHgUagCJ,63,0.797,0.644,8,-9.253,1,0.188,0.338,6.51e-05,0.0592,0.706,96.87,audio_features,60e5PcqGmlVFQ0HHgUagCJ,spotify:track:60e5PcqGmlVFQ0HHgUagCJ,https://api.spotify.com/v1/tracks/60e5PcqGmlVFQ0HHgUagCJ,https://api.spotify.com/v1/audio-analysis/60e5PcqGmlVFQ0HHgUagCJ,280467,4
51,The Dell-Vikings,Come Go With Me,Clarence E. Quick,Joe Averbach,57,4IYyGIbMS5ZkxDXGfPIrXr,60,0.566,0.534,5,-9.416,0,0.0409,0.713,0.0,0.0883,0.582,129.69,audio_features,4IYyGIbMS5ZkxDXGfPIrXr,spotify:track:4IYyGIbMS5ZkxDXGfPIrXr,https://api.spotify.com/v1/tracks/4IYyGIbMS5ZkxDXGfPIrXr,https://api.spotify.com/v1/audio-analysis/4IYyGIbMS5ZkxDXGfPIrXr,162293,4
52,50 Cent,In Da Club,"50 Cent, Dr. Dre, Mike Elizondo","Dr. Dre, Elizondo",02,4RY96Asd9IefaL3X4LOLZ8,72,0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059,audio_features,4RY96Asd9IefaL3X4LOLZ8,spotify:track:4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/audio-analysis/4RY96Asd9IefaL3X4LOLZ8,193467,4
53,John Cougar Mellencamp,Pink Houses,Mellencamp,"Little Bastard, Don Gehman",83,5JKQMoGmXwDHCodn5pFVHB,66,0.635,0.795,7,-5.313,1,0.0269,0.0514,3.08e-06,0.0751,0.628,115.23,audio_features,5JKQMoGmXwDHCodn5pFVHB,spotify:track:5JKQMoGmXwDHCodn5pFVHB,https://api.spotify.com/v1/tracks/5JKQMoGmXwDHCodn5pFVHB,https://api.spotify.com/v1/audio-analysis/5JKQMoGmXwDHCodn5pFVHB,283667,4
54,Salt,"n Pepa, 'Push It","Hurby ""Luv Bug"" Azor",Azor,87,6sT9MWlJManry3EQwf4V80,68,0.913,0.596,11,-12.477,0,0.0707,0.00658,0.00349,0.078,0.973,127.215,audio_features,6sT9MWlJManry3EQwf4V80,spotify:track:6sT9MWlJManry3EQwf4V80,https://api.spotify.com/v1/tracks/6sT9MWlJManry3EQwf4V80,https://api.spotify.com/v1/audio-analysis/6sT9MWlJManry3EQwf4V80,272133,4
