,Artist,Title,Writers,Producer,Year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
252,Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,"Gary Jackson, Raynard Miner, Carl Smith",Carl Davis,67,4TBBPZks71c60whhq0PgdP,70,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574,audio_features,4TBBPZks71c60whhq0PgdP,spotify:track:4TBBPZks71c60whhq0PgdP,https://api.spotify.com/v1/tracks/4TBBPZks71c60whhq0PgdP,https://api.spotify.com/v1/audio-analysis/4TBBPZks71c60whhq0PgdP,181067,4
253,The Spencer Davis Group,Gimme Some Lovin',"Davis, Steve Winwood, Muff Winwood",Jimmy Miller,66,3qCHUm73I3o5F1mDEfibzo,58,0.598,0.564,0,-6.454,1,0.032,0.216,0.000204,0.277,0.43,147.619,audio_features,3qCHUm73I3o5F1mDEfibzo,spotify:track:3qCHUm73I3o5F1mDEfibzo,https://api.spotify.com/v1/tracks/3qCHUm73I3o5F1mDEfibzo,https://api.spotify.com/v1/audio-analysis/3qCHUm73I3o5F1mDEfibzo,178840,4
254,The B-52,"s, 'Love Shack","Kate Pierson, Fred Schneider, Keith Strickland, Cindy Wilson","Don Was, Nile Rodgers",89,4W4wYHtsrgDiivRASVOINL,72,0.715,0.817,5,-6.227,0,0.0532,0.0325,1.61e-06,0.851,0.871,133.858,audio_features,4W4wYHtsrgDiivRASVOINL,spotify:track:4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,321573,4
255,Elton John,Rocket Man,"John, Bernie Taupin",Gus Dudgeon,72,3gdewACMIVMEWVbyb8O9sY,82,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,audio_features,3gdewACMIVMEWVbyb8O9sY,spotify:track:3gdewACMIVMEWVbyb8O9sY,https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY,https://api.spotify.com/v1/audio-analysis/3gdewACMIVMEWVbyb8O9sY,281613,4
256,Sly and the Family Stone,Stand!,Sly Stone,Stone,69,4ZVZBc5xvMyV3WzWktn8i7,66,0.807,0.497,7,-10.656,1,0.0297,0.306,0.0323,0.043,0.765,114.523,audio_features,4ZVZBc5xvMyV3WzWktn8i7,spotify:track:4ZVZBc5xvMyV3WzWktn8i7,https://api.spotify.com/v1/tracks/4ZVZBc5xvMyV3WzWktn8i7,https://api.spotify.com/v1/audio-analysis/4ZVZBc5xvMyV3WzWktn8i7,141507,4
257,Dion,The Wanderer,Ernie Maresca,Gene Schwartz,61,3v8d3ku3kiTZVPxEt7a2dE,59,0.59,0.546,7,-10.213,1,0.0436,0.301,0.0,0.0936,0.855,114.04,audio_features,3v8d3ku3kiTZVPxEt7a2dE,spotify:track:3v8d3ku3kiTZVPxEt7a2dE,https://api.spotify.com/v1/tracks/3v8d3ku3kiTZVPxEt7a2dE,https://api.spotify.com/v1/audio-analysis/3v8d3ku3kiTZVPxEt7a2dE,168640,4
258,Dusty Springfield,Son of a Preacher Man,"John Hurley, Ronnie Wilkins",Jerry Wexler,68,7odHgoLFi3GQ90E9PeraI3,63,0.401,0.498,4,-10.682,1,0.0757,0.394,0.0,0.13,0.816,181.701,audio_features,7odHgoLFi3GQ90E9PeraI3,spotify:track:7odHgoLFi3GQ90E9PeraI3,https://api.spotify.com/v1/tracks/7odHgoLFi3GQ90E9PeraI3,https://api.spotify.com/v1/audio-analysis/7odHgoLFi3GQ90E9PeraI3,149160,4
259,Patsy Cline,I Fall to Pieces,Hank Cochran,Owen Bradley,61,6zFsz86nAj5gcvzyVqNL3k,62,0.481,0.0568,10,-20.508,1,0.0357,0.917,0.0,0.12,0.505,111.799,audio_features,6zFsz86nAj5gcvzyVqNL3k,spotify:track:6zFsz86nAj5gcvzyVqNL3k,https://api.spotify.com/v1/tracks/6zFsz86nAj5gcvzyVqNL3k,https://api.spotify.com/v1/audio-analysis/6zFsz86nAj5gcvzyVqNL3k,171333,4
260,Afrika Bambaataa and the Soul Sonic Force,Planet Rock,"Bambaataa, John Robie, the Soul Sonic Force","Bambaataa, Arthur Baker",82,6WZkTLGw7mskacC9QIxmzH,18,0.855,0.927,7,-5.782,1,0.164,0.0497,0.0,0.0923,0.635,126.482,audio_features,6WZkTLGw7mskacC9QIxmzH,spotify:track:6WZkTLGw7mskacC9QIxmzH,https://api.spotify.com/v1/tracks/6WZkTLGw7mskacC9QIxmzH,https://api.spotify.com/v1/audio-analysis/6WZkTLGw7mskacC9QIxmzH,454573,4
261,Ray Charles,I Got a Woman,"Charles, Renald Richard",Jerry Wexler,54,4n3jZ9O3ntnHrP1sjmWW8T,46,0.6,0.507,9,-5.729,1,0.183,0.908,2.15e-05,0.124,0.731,198.488,audio_features,4n3jZ9O3ntnHrP1sjmWW8T,spotify:track:4n3jZ9O3ntnHrP1sjmWW8T,https://api.spotify.com/v1/tracks/4n3jZ9O3ntnHrP1sjmWW8T,https://api.spotify.com/v1/audio-analysis/4n3jZ9O3ntnHrP1sjmWW8T,171967,4
262,Buddy Holly and the Crickets,Everyday,"Charles Hardin, Norman Petty",Petty,57,2KV09xTXmV0tU9r0fDZISt,20,0.594,0.291,3,-12.184,1,0.0338,0.271,0.0221,0.108,0.739,134.972,audio_features,2KV09xTXmV0tU9r0fDZISt,spotify:track:2KV09xTXmV0tU9r0fDZISt,https://api.spotify.com/v1/tracks/2KV09xTXmV0tU9r0fDZISt,https://api.spotify.com/v1/audio-analysis/2KV09xTXmV0tU9r0fDZISt,137653,4
263,The Byrds,I'll Feel a Whole Lot Better,Gene Clark,Terry Melcher,65,2hIGz0CXlqA2ukeuUl8DYP,42,0.402,0.892,9,-7.373,1,0.0302,0.0509,0.0,0.345,0.951,134.927,audio_features,2hIGz0CXlqA2ukeuUl8DYP,spotify:track:2hIGz0CXlqA2ukeuUl8DYP,https://api.spotify.com/v1/tracks/2hIGz0CXlqA2ukeuUl8DYP,https://api.spotify.com/v1/audio-analysis/2hIGz0CXlqA2ukeuUl8DYP,151707,4
264,M.I.A.,Paper Planes,"M.I.A., Diplo","Diplo, Switch",07,1wgqttlPacpvmX5DKVboOa,79,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.65,0.485,172.247,audio_features,1wgqttlPacpvmX5DKVboOa,spotify:track:1wgqttlPacpvmX5DKVboOa,https://api.spotify.com/v1/tracks/1wgqttlPacpvmX5DKVboOa,https://api.spotify.com/v1/audio-analysis/1wgqttlPacpvmX5DKVboOa,205200,4
265,The Animals,We Gotta Get Out of This Place,"Barry Mann, Cynthia Weil",Mickie Most,65,5geF5xzPGHxpmk9BDBHphZ,54,0.534,0.61,5,-5.276,1,0.0345,0.431,2.79e-06,0.0988,0.45,124.05,audio_features,5geF5xzPGHxpmk9BDBHphZ,spotify:track:5geF5xzPGHxpmk9BDBHphZ,https://api.spotify.com/v1/tracks/5geF5xzPGHxpmk9BDBHphZ,https://api.spotify.com/v1/audio-analysis/5geF5xzPGHxpmk9BDBHphZ,194600,4
266,Roy Orbison,Only the Lonely,"Joe Melson, Orbison",Fred Foster,60,0PkBTqRtN25z3oKasWoKlj,64,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,audio_features,0PkBTqRtN25z3oKasWoKlj,spotify:track:0PkBTqRtN25z3oKasWoKlj,https://api.spotify.com/v1/tracks/0PkBTqRtN25z3oKasWoKlj,https://api.spotify.com/v1/audio-analysis/0PkBTqRtN25z3oKasWoKlj,145533,4
267,Marvin Gaye,Sexual Healing,"Gaye, Odell Brown, David Ritz",Gaye,82,3VZmChrnVW8JK6ano4gSED,73,0.805,0.601,0,-9.7,0,0.0579,0.119,0.000129,0.0581,0.746,94.382,audio_features,3VZmChrnVW8JK6ano4gSED,spotify:track:3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/tracks/3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/audio-analysis/3VZmChrnVW8JK6ano4gSED,238600,4
268,Bob Dylan,Just Like a Woman,Dylan,Bob Johnston,66,37Dl7jQMmt0gUnzTKqnjkN,54,0.564,0.441,4,-9.902,1,0.0437,0.773,0.0,0.351,0.469,115.174,audio_features,37Dl7jQMmt0gUnzTKqnjkN,spotify:track:37Dl7jQMmt0gUnzTKqnjkN,https://api.spotify.com/v1/tracks/37Dl7jQMmt0gUnzTKqnjkN,https://api.spotify.com/v1/audio-analysis/37Dl7jQMmt0gUnzTKqnjkN,290467,4
269,Van Morrison,Moondance,Morrison,Morrison,70,683b4ikwa62JevCjwrmfg6,72,0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,audio_features,683b4ikwa62JevCjwrmfg6,spotify:track:683b4ikwa62JevCjwrmfg6,https://api.spotify.com/v1/tracks/683b4ikwa62JevCjwrmfg6,https://api.spotify.com/v1/audio-analysis/683b4ikwa62JevCjwrmfg6,274040,4
270,Muddy Waters,Mannish Boy,"McKinley Morganfield, Mel London, Ellas McDaniel","Leonard and Phil Chess, Willie Dixon",55,58PSYdY0GFg0LFb2PxYk4T,64,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,audio_features,58PSYdY0GFg0LFb2PxYk4T,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,321133,3
271,Chic,Good Times,"Nile Rodgers, Bernard Edwards","Rodgers, Edwards",79,2wYKNcoqKW4IEcllj42xz1,55,0.869,0.503,2,-12.804,1,0.0479,0.0818,0.00837,0.187,0.914,112.664,audio_features,2wYKNcoqKW4IEcllj42xz1,spotify:track:2wYKNcoqKW4IEcllj42xz1,https://api.spotify.com/v1/tracks/2wYKNcoqKW4IEcllj42xz1,https://api.spotify.com/v1/audio-analysis/2wYKNcoqKW4IEcllj42xz1,486187,4
272,The Clash,Should I Stay or Should I Go,The Clash,Glyn Johns,82,39shmbIHICJ2Wxnk1fPSdz,80,0.742,0.833,2,-6.463,1,0.115,0.079,0.0,0.384,0.816,113.375,audio_features,39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz,188987,4
